Tuote,Hinta,x,y
Banaani,3.18,683,414
Omena,1.76,744,414
Appelsiini,2.38,738,431
Mango,1.77,680,431
Luumu,2.75,812,390
Ruisleipä,1.26,624,170
Paahtoleipä,1.32,624,210
Patonki,3.71,647,190
Maito,2.80,44,40
Jugurtti,2.63,44,80
Rahka,1.42,82,18
Kermaviili,2.70,82,140
Reajuusto,2.05,125,48
Taco,1.58,422,220
Vichy,1.45,372,288
Coca-Cola,3.75,356,240
Olut,2.75,315,170
Voi,2.39,160,50
Kanamuna,2.00,44,140
Kana filé,1.62,330,69
Possun filé,3.49,430,69
Jauheliha,1.56,370,97
Maksalaatikko,3.02,600,97
Makaronilaatikko,3.51,600,65
Makkara,2.85,730,65
Kinkku,1.81,785,80
Salami,2.98,803,113
Keittojuurekset,1.32,226,150
Wokvihannekset,2.63,226,200
Tomaattimurska,1.18,422,345
Ketsuppi,1.12,422,360
Tomaatti,1.38,860,405
Tonnikala,1.68,98,140
Ananas,2.41,78,160
Persikka,2.13,98,200
Kahvi,3.68,78,300
Siideri,2.25,340,200
